id	name	group	type	description	size
Node128	"IPR015880:Zinc finger, C2H2-like"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"IPR015880:Zinc finger, C2H2-like"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	1
Node129	"IPR015880:Zinc finger, C2H2-like"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"IPR015880:Zinc finger, C2H2-like"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	1
Node130	"IPR017452:GPCR, rhodopsin-like, 7TM"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"IPR017452:GPCR, rhodopsin-like, 7TM"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2
Node131	"IPR017452:GPCR, rhodopsin-like, 7TM"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"IPR017452:GPCR, rhodopsin-like, 7TM"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2
Node132	"IPR023608:Protein-glutamine gamma-glutamyltransferase, eukaryota"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"IPR023608:Protein-glutamine gamma-glutamyltransferase, eukaryota"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node133	"lipid moiety-binding region:N-myristoyl glycine"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"lipid moiety-binding region:N-myristoyl glycine"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node134	"lipid moiety-binding region:N-myristoyl glycine"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"lipid moiety-binding region:N-myristoyl glycine"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node135	Lipid-binding	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	Lipid-binding	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node136	Lipoprotein	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	Lipoprotein	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node137	Lipoprotein	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	Lipoprotein	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node138	"m_spryPathway:Sprouty regulation of tyrosine kinase signals"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"m_spryPathway:Sprouty regulation of tyrosine kinase signals"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node139	Magnesium	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	Magnesium	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	1
Node140	Magnesium	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	Magnesium	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node141	Membrane	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	Membrane	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	5
Node142	Membrane	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	Membrane	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	5
Node143	Membrane	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	Membrane	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	5
Node144	Membrane	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	Membrane	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	5
Node145	"metal ion-binding site:Divalent metal cation"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"metal ion-binding site:Divalent metal cation"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node146	"mmu04740:Olfactory transduction"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"mmu04740:Olfactory transduction"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node147	"mmu04972:Pancreatic secretion"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"mmu04972:Pancreatic secretion"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node148	Myristate	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	Myristate	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node149	Myristate	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	Myristate	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node150	Oogenesis	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	Oogenesis	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node151	Oogenesis	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	Oogenesis	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node152	"PIRSF000459:protein-glutamine gamma-glutamyltransferase/erythrocyte membrane protein band 4.2"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"PIRSF000459:protein-glutamine gamma-glutamyltransferase/erythrocyte membrane protein band 4.2"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node153	Receptor	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	Receptor	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2
Node154	Receptor	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	Receptor	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2
Node155	"repeat:ANK 10"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"repeat:ANK 10"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node156	"repeat:ANK 10"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"repeat:ANK 10"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node157	"repeat:ANK 11"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"repeat:ANK 11"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node158	"repeat:ANK 11"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"repeat:ANK 11"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node159	"repeat:ANK 12"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"repeat:ANK 12"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node160	"repeat:ANK 12"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"repeat:ANK 12"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node161	"repeat:ANK 13"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"repeat:ANK 13"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node162	"repeat:ANK 13"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"repeat:ANK 13"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node163	"repeat:ANK 14"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"repeat:ANK 14"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node164	"repeat:ANK 14"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"repeat:ANK 14"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node165	"repeat:ANK 15"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"repeat:ANK 15"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
	"repeat:ANK 15"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"repeat:ANK 15"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	
